CleansedReadCode,Term,Disease,SnomedCTConceptId
G20..00,Essential hypertension,Hypertension,59621000
G2...11,BP - hypertensive disease,Hypertension,38341003
G551.00,Hypertrophic obstructive cardiomyopathy,Hypertrophic Cardiomyopathy,45227007
Gyu5M00,[X]Other hypertrophic cardiomyopathy,Hypertrophic Cardiomyopathy,233873004
G554300,Hypertrophic non-obstructive cardiomyopathy,Hypertrophic Cardiomyopathy,195020003
7840z00,Total excision of spleen NOS,Hyposplenism,174776001
7841z00,Other excision of spleen NOS,Hyposplenism,234319005
D415400,Splenic atrophy,Hyposplenism,82893001
PK06.00,Hypoplasia of spleen,Hyposplenism,205735005
D415600,Splenic fibrosis,Hyposplenism,56338005
D415A00,Hyposplenism,Hyposplenism,23761004
D415700,Splenic infarction,Hyposplenism,22996003
14N7.00,H/O: splenectomy,Hyposplenism,161626009
7840y00,Other specified total excision of spleen,Hyposplenism,174776001
D415800,Non-traumatic rupture of spleen,Hyposplenism,43325004
7841y00,Other specified other excision of spleen,Hyposplenism,234319005
C392900,Major histocompatibility complex class II deficiency,Immunodeficiencies,191002000
C392z00,Combined immunity deficiency NOS,Immunodeficiencies,31323000
C393.00,Unspecified immunity deficiency,Immunodeficiencies,234532001
C395.00,Immunodeficiency with short-limbed stature,Immunodeficiencies,25109007
C396.00,Immunodef follow hereditary defect respon Epstein-Barr vir,Immunodeficiencies,191008001
C397.00,Hyperimmunoglobulin E syndrome,Immunodeficiencies,50926003
C398.00,Common variable immunodeficiency,Immunodeficiencies,23238000
C39y000,Lymphocyte function antigen-1 defect,Immunodeficiencies,191018006
Cyu0000,[X]Other immunodeficiencies+predominantly antibody defects,Immunodeficiencies,234532001
Cyu0400,[X]Other common variable immunodeficiencies,Immunodeficiencies,234532001
Cyu0500,[X]Other specified immunodeficiency disorders,Immunodeficiencies,234532001
C390.00,Deficiencies of humoral immunity,Immunodeficiencies,267459007
C390.11,Agammaglobulinaemia,Immunodeficiencies,119249001
C390000,Hypogammaglobulinaemia NOS,Immunodeficiencies,119250001
C390100,Selective IgA immunodeficiency,Immunodeficiencies,190979003
C390200,Selective IgM immunodeficiency,Immunodeficiencies,190980000
C390300,Selective IgG immunodeficiency,Immunodeficiencies,190981001
C390400,Other selective immunoglobulin deficiency,Immunodeficiencies,234535004
C390500,Congenital hypogammaglobulinaemia,Immunodeficiencies,267460002
C390511,Bruton's agammaglobulinaemia,Immunodeficiencies,65880007
C390512,Congenital X-linked agammaglobulinaemia,Immunodeficiencies,65880007
C390600,Immunodeficiency with IgM hypergammaglobulinaemia,Immunodeficiencies,82286005
C390800,Transient infant hypogammaglobulinaemia,Immunodeficiencies,88714009
C390900,Agammaglobulinaemia NEC,Immunodeficiencies,119249001
C390A00,Dysimmunoglobulinaemia NEC,Immunodeficiencies,103075007
C390B00,Antibod def wth nr-norm imunoglob/or wth hyperimunoglobaemia,Immunodeficiencies,190986006
C390y00,Other specified deficiency of humoral immunity,Immunodeficiencies,103075007
C390z00,Deficiency of humoral immunity NOS,Immunodeficiencies,103075007
C391.00,Deficiencies of cell-mediated immunity,Immunodeficiencies,398293003
C391000,Predominantly T-cell immuno-deficiency NOS,Immunodeficiencies,398293003
C391011,T-lymphocyte deficiency,Immunodeficiencies,398055000
C391012,Cellular immunity syndrome,Immunodeficiencies,398271008
C391200,Wiskott - Aldrich syndrome,Immunodeficiencies,36070007
C392100,Severe combined immunodeficiency,Immunodeficiencies,31323000
C392111,Swiss type agammaglobulinaemia,Immunodeficiencies,203592006
C392300,Severe combined immunodefiency with reticular dysgenesis,Immunodeficiencies,190996002
C392600,Adenosine deaminase deficiency,Immunodeficiencies,44940001
C392700,Purine nucleoside phosphorylase deficiency,Immunodeficiencies,60743005
C392800,Major histocompatibility complex class I deficiency,Immunodeficiencies,191001007
J40..11,Crohn's disease,Inflammatory Bowel Disease Crohn Disease,34000006
J402.00,Regional ileocolitis,Inflammatory Bowel Disease Crohn Disease,196983007
J40..00,Regional enteritis - Crohn's disease,Inflammatory Bowel Disease Crohn Disease,34000006
J401100,Regional enteritis of the rectum,Inflammatory Bowel Disease Crohn Disease,3815005
J401.00,Regional enteritis of the large bowel,Inflammatory Bowel Disease Crohn Disease,7620006
J400z00,Crohn's disease of the small bowel NOS,Inflammatory Bowel Disease Crohn Disease,56689002
J400500,Exacerbation of Crohn's disease of small intestine,Inflammatory Bowel Disease Crohn Disease,414154002
J400200,Crohn's disease of the terminal ileum,Inflammatory Bowel Disease Crohn Disease,196977009
J400400,Crohn's disease of the ileum NOS,Inflammatory Bowel Disease Crohn Disease,38106008
J401z00,Crohn's disease of the large bowel NOS,Inflammatory Bowel Disease Crohn Disease,7620006
J08z900,Orofacial Crohn's disease,Inflammatory Bowel Disease Crohn Disease,196578009
J400300,Crohn's disease of the ileum unspecified,Inflammatory Bowel Disease Crohn Disease,38106008
J400100,Regional enteritis of the jejunum,Inflammatory Bowel Disease Crohn Disease,196976000
J400000,Regional enteritis of the duodenum,Inflammatory Bowel Disease Crohn Disease,56287005
J401200,Exacerbation of Crohn's disease of large intestine,Inflammatory Bowel Disease Crohn Disease,414153008
J40..12,Granulomatous enteritis,Inflammatory Bowel Disease Crohn Disease,34000006
J40z.00,Regional enteritis NOS,Inflammatory Bowel Disease Crohn Disease,34000006
J40z.11,Crohn's disease NOS,Inflammatory Bowel Disease Crohn Disease,34000006
Jyu4000,[X]Other Crohn's disease,Inflammatory Bowel Disease Crohn Disease,34000006
N031100,Arthropathy in Crohn's disease,Inflammatory Bowel Disease Crohn Disease,201728006
N045300,Juvenile arthritis in Crohn's disease,Inflammatory Bowel Disease Crohn Disease,201805000
J410200,Ulcerative rectosigmoiditis,Inflammatory Bowel Disease Ulcerative Colitis,52506002
J410400,Exacerbation of ulcerative colitis,Inflammatory Bowel Disease Ulcerative Colitis,414156000
J410z00,Ulcerative proctocolitis NOS,Inflammatory Bowel Disease Ulcerative Colitis,295046003
J413.00,Ulcerative pancolitis,Inflammatory Bowel Disease Ulcerative Colitis,444548001
J41y.00,Other idiopathic proctocolitis,Inflammatory Bowel Disease Ulcerative Colitis,418130002
J41yz00,Other idiopathic proctocolitis NOS,Inflammatory Bowel Disease Ulcerative Colitis,418130002
Jyu4100,[X]Other ulcerative colitis,Inflammatory Bowel Disease Ulcerative Colitis,64766004
N031000,Arthropathy in ulcerative colitis,Inflammatory Bowel Disease Ulcerative Colitis,201727001
N045400,Juvenile arthritis in ulcerative colitis,Inflammatory Bowel Disease Ulcerative Colitis,201807008
J41z.00,Idiopathic proctocolitis NOS,Inflammatory Bowel Disease Ulcerative Colitis,64766004
J410300,Ulcerative proctitis,Inflammatory Bowel Disease Ulcerative Colitis,52231000
J41..12,Ulcerative colitis and/or proctitis,Inflammatory Bowel Disease Ulcerative Colitis,295046003
J410.00,Ulcerative proctocolitis,Inflammatory Bowel Disease Ulcerative Colitis,295046003
J410000,Ulcerative ileocolitis,Inflammatory Bowel Disease Ulcerative Colitis,196987008
J410100,Ulcerative colitis,Inflammatory Bowel Disease Ulcerative Colitis,64766004
J41..00,Idiopathic proctocolitis,Inflammatory Bowel Disease Ulcerative Colitis,64766004
14C4.11,H/O: ulcerative colitis,Inflammatory Bowel Disease Ulcerative Colitis,275549008
G613.00,Cerebellar haemorrhage,Intracerebral Haemorrhage,75038005
G611.00,Internal capsule haemorrhage,Intracerebral Haemorrhage,52201006
G610.00,Cortical haemorrhage,Intracerebral Haemorrhage,49422009
G61..12,Stroke due to intracerebral haemorrhage,Intracerebral Haemorrhage,274100004
G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage,Intracerebral Haemorrhage,274100004
662o.00,Haemorrhagic stroke monitoring,Intracerebral Haemorrhage,417506008
G61z.00,Intracerebral haemorrhage NOS,Intracerebral Haemorrhage,274100004
G617.00,"Intracerebral haemorrhage, intraventricular",Intracerebral Haemorrhage,195168007
G61X000,"Left sided intracerebral haemorrhage, unspecified",Intracerebral Haemorrhage,274100004
G616.00,External capsule haemorrhage,Intracerebral Haemorrhage,195167002
G619.00,Lobar cerebral haemorrhage,Intracerebral Haemorrhage,230710000
G615.00,Bulbar haemorrhage,Intracerebral Haemorrhage,732923001
G614.00,Pontine haemorrhage,Intracerebral Haemorrhage,7713009
Gyu6F00,"[X]Intracerebral haemorrhage in hemisphere, unspecified",Intracerebral Haemorrhage,274100004
Gyu6200,[X]Other intracerebral haemorrhage,Intracerebral Haemorrhage,274100004
G681.00,Sequelae of intracerebral haemorrhage,Intracerebral Haemorrhage,195241001
G612.00,Basal nucleus haemorrhage,Intracerebral Haemorrhage,195165005
F282.11,Pseudotumour cerebri,INTRACRANIALHypertension,68267002
F282.00,Benign intracranial hypertension,INTRACRANIALHypertension,68267002
13Z4E00,Learning difficulties,Learning Disability,161129001
918e.00,On learning disability register,Learning Disability,416075005
94Z9.00,Preferred place of death: learning disability unit,Learning Disability,518741000000100
E3z..00,Mental retardation NOS,Learning Disability,91138005
E3y..00,Other specified mental retardation,Learning Disability,91138005
9HB0.00,Learning disabilities health action plan declined,Learning Disability,413162002
E31z.00,Other specified mental retardation NOS,Learning Disability,91138005
E312.00,Profound mental retardation with IQ less than 20,Learning Disability,31216003
E310.11,Imbecile,Learning Disability,61152003
E31..00,Other specified mental retardation,Learning Disability,91138005
E30..12,Feeble-minded,Learning Disability,86765009
E30..11,Educationally subnormal,Learning Disability,276854003
E30..00,"Mild mental retardation, IQ in range 50-70",Learning Disability,86765009
E3...00,Mental retardation,Learning Disability,91138005
E2F2.00,Other specific learning difficulty,Learning Disability,889211000000104
9HB6.00,Learning disabilities annual health assessment declined,Learning Disability,514021000000103
9HB4.00,Learning disabilities health action plan completed,Learning Disability,712491005
9HB3.00,Learning disabilities health assessment,Learning Disability,413126003
9HB2.00,Learning disabilities health action plan reviewed,Learning Disability,413163007
Eu7y.00,[X]Other mental retardation,Learning Disability,91138005
Eu81z00,"[X]Developmental disorder of scholastic skills, unspecified",Learning Disability,1855002
Eu81y00,[X]Other developmental disorders of scholastic skills,Learning Disability,1855002
Eu81400,[X]Moderate learning disability,Learning Disability,984671000000103
Eu81.00,[X]Specific developmental disorders of scholastic skills,Learning Disability,1855002
Eu7zy00,"[X]Unspecified mental retardatn, other impairments of behav",Learning Disability,91138005
Eu7z000,[X]Unsp mental retard with statement no or min impairm behav,Learning Disability,91138005
Eu7z.00,[X]Unspecified mental retardation,Learning Disability,91138005
Eu7yz00,[X]Other mental retardation without mention impairment behav,Learning Disability,91138005
Eu7yy00,"[X]Other mental retardation, other impairments of behaviour",Learning Disability,91138005
Eu72y00,"[X]Severe mental retardation, other impairments of behaviour",Learning Disability,40700009
Eu71y00,[X]Mod retard oth behav impair,Learning Disability,61152003
Eu70y00,"[X]Mild mental retardation, other impairments of behaviour",Learning Disability,86765009
BBK0000,[M]Leiomyoma NOS,Leiomyoma of Uterus,146801000119103
BBK0500,[M]Cellular leiomyoma,Leiomyoma of Uterus,90955001
B781.11,Mural fibroids,Leiomyoma of Uterus,93616000
B782.00,Subserous uterine leiomyoma,Leiomyoma of Uterus,95280005
B781.00,Intramural uterine leiomyoma,Leiomyoma of Uterus,93616000
B780.00,Submucous uterine leiomyoma,Leiomyoma of Uterus,95279007
B78..11,Fibroids,Leiomyoma of Uterus,95315005
B78..00,Uterine leiomyoma - fibroids,Leiomyoma of Uterus,95315005
7E06111,Excision fibroid,Leiomyoma of Uterus,42010004
B78z.00,Uterine leiomyoma NOS,Leiomyoma of Uterus,95315005
BBK0.00,[M]Leiomyomatous neoplasms,Leiomyoma of Uterus,396341000000101
BBK0z00,[M]Leiomyomatous neoplasm NOS,Leiomyoma of Uterus,461861000000108
F425700,Drusen,Macular Degeneration,18695008
F425100,Dry senile macular degeneration,Macular Degeneration,414875008
F425000,Unspecified senile macular degeneration,Macular Degeneration,267718000
F425.11,Senile macular degeneration,Macular Degeneration,267718000
F425.00,Degeneration of macula and posterior pole,Macular Degeneration,267611002
F424400,Retinal pigment epithelial detachment,Macular Degeneration,232067008
F424300,Retinal pigment epithelium haemorrhagic detachment,Macular Degeneration,50165004
F424200,Retinal pigment epithelium serous detachment,Macular Degeneration,52002008
F425200,Wet senile macular degeneration,Macular Degeneration,414173003
2BBH.00,Retinal drusen,Macular Degeneration,247153005
F425z00,Degeneration of macula or posterior pole NOS,Macular Degeneration,267611002
F560.12,Lermoyez's syndrome,Meniere Disease,29904009
F560z00,Meniere's disease NOS,Meniere Disease,13445001
F560400,Inactive Meniere's disease,Meniere Disease,194351009
F560300,Active vestibular Meniere's disease,Meniere Disease,194350005
F560200,Active cochlear Meniere's disease,Meniere Disease,194349005
F560100,Active cochleovestibular Meniere's disease,Meniere Disease,194348002
F560000,Unspecified Meniere's disease,Meniere Disease,13445001
F560.11,Endolymphatic hydrops,Meniere Disease,9794007
F560.00,Meniere's disease,Meniere Disease,13445001
BBd7.11,[M]Angioblastic meningioma,Meningioma,35701008
B7F2000,Cerebral meningioma,Meningioma,189164002
BBd8.00,[M]Haemangiopericytic meningioma,Meningioma,389701000000109
K5A0.11,Climacteric menorrhagia,Menorrhagia and Polymenorrhea,88424000
K592.12,Hypermenorrhoea,Menorrhagia and Polymenorrhea,386692008
K592000,Menorrhagia,Menorrhagia and Polymenorrhea,386692008
K592011,Heavy periods,Menorrhagia and Polymenorrhea,386692008
K592012,Heavy menstrual bleeding,Menorrhagia and Polymenorrhea,386692008
K5A6.00,Perimenopausal menorrhagia,Menorrhagia and Polymenorrhea,88424000
K592.00,Excessive or frequent menstruation,Menorrhagia and Polymenorrhea,266601003
K5A0.00,Premenopausal menorrhagia,Menorrhagia and Polymenorrhea,88424000
K593.11,Pubertal bleeding and menorrhagia,Menorrhagia and Polymenorrhea,237126008
K592100,Polymenorrhoea,Menorrhagia and Polymenorrhea,52754008
K592z00,Excessive or frequent menstruation NOS,Menorrhagia and Polymenorrhea,266601003
151G.00,Length of cycle decreasing,Menorrhagia and Polymenorrhea,161726001
K592111,Epimenorrhoea,Menorrhagia and Polymenorrhea,52754008
K592.11,Frequent menses,Menorrhagia and Polymenorrhea,266601003
F260.11,Migraine with aura,Migraine,4473006
F260.00,Classical migraine,Migraine,230462002
F26..00,Migraine,Migraine,37796009
8B6N.00,Migraine prophylaxis,Migraine,408381007
F261.11,Migraine without aura,Migraine,56097005
F261.00,Common migraine,Migraine,56097005
F261000,Atypical migraine,Migraine,56097005
F261z00,Common migraine NOS,Migraine,56097005
F262.00,Migraine variants,Migraine,193030005
F262200,Abdominal migraine,Migraine,75879005
F262300,Basilar migraine,Migraine,83351003
F262400,Ophthalmic migraine,Migraine,95655001
F262500,Periodic migrainous neuralgia,Migraine,193031009
F262z00,Migraine variant NOS,Migraine,193030005
F26y.00,Other forms of migraine,Migraine,37796009
F26y000,Hemiplegic migraine,Migraine,59292006
F26y100,Ophthalmoplegic migraine,Migraine,49605003
F26y200,Status migrainosus,Migraine,230467008
F26y300,Complicated migraine,Migraine,193039006
F26yz00,Other forms of migraine NOS,Migraine,37796009
F26z.00,Migraine NOS,Migraine,37796009
Fyu5300,[X]Other migraine,Migraine,37796009
R090D00,[D]Abdominal migraine,Migraine,75879005
9kG..00,Spec serv for pat with multiple sclerosis - enh serv admin,Multiple Sclerosis,166411000000100
F20..00,Multiple sclerosis,Multiple Sclerosis,24700007
F20..11,Disseminated sclerosis,Multiple Sclerosis,24700007
F201.00,Multiple sclerosis of the spinal cord,Multiple Sclerosis,192927008
F202.00,Generalised multiple sclerosis,Multiple Sclerosis,192928003
F203.00,Exacerbation of multiple sclerosis,Multiple Sclerosis,192929006
F206.00,Primary progressive multiple sclerosis,Multiple Sclerosis,428700003
F208.00,Secondary progressive multiple sclerosis,Multiple Sclerosis,425500002
F20z.00,Multiple sclerosis NOS,Multiple Sclerosis,24700007
F380.00,Myasthenia gravis,Myasthenia Gravis,91637004
F380100,Juvenile or adult myasthenia gravis,Myasthenia Gravis,193207007
F380z00,Myasthenia gravis NOS,Myasthenia Gravis,91637004
14A3.00,H/O: myocardial infarct <60,Myocardial Infarction,161502000
14AH.00,H/O: Myocardial infarction in last year,Myocardial Infarction,308065005
2D33.00,O/E - nasal polyp present,Nasal polyp,164193006
H11..00,Nasal polyps,Nasal polyp,52756005
H110.00,Polyp of nasal cavity,Nasal polyp,52756005
H110000,Choanal polyp,Nasal polyp,30677002
H110100,Nasopharyngeal polyp,Nasal polyp,30677002
H110z00,Polyp of nasal cavity NOS,Nasal polyp,52756005
H111.00,Polypoid sinus degeneration,Nasal polyp,26808007
H111000,Woakes' ethmoiditis,Nasal polyp,195756009
H111z00,Polypoid sinus degeneration NOS,Nasal polyp,26808007
H11y.00,Other polyp of sinus,Nasal polyp,52756005
H11y000,Polyp of frontal sinus,Nasal polyp,195759002
H11y100,Polyp of ethmoidal sinus,Nasal polyp,23966000
H11y200,Polyp of maxillary sinus,Nasal polyp,29074008
H11y211,Antral (maxillary) polyp,Nasal polyp,29074008
H11y300,Polyp of sphenoidal sinus,Nasal polyp,90685008
H11yz00,Other polyp of sinus NOS,Nasal polyp,52756005
H11z.00,Nasal polyp NOS,Nasal polyp,52756005
Hyu2300,[X]Other polyp of sinus,Nasal polyp,32307003
G541000,"Aortic incompetence, non-rheumatic",Non-rheumatic Aortic Valve Disorders,194983005
G541011,"Aortic insufficiency, non-rheumatic",Non-rheumatic Aortic Valve Disorders,194983005
G541012,"Aortic regurgitation, non-rheumatic",Non-rheumatic Aortic Valve Disorders,194983005
G541100,"Aortic stenosis, non-rheumatic",Non-rheumatic Aortic Valve Disorders,194984004
G541200,"Aortic incompetence alone, cause unspecified",Non-rheumatic Aortic Valve Disorders,60234000
G541211,"Aortic insufficiency alone, cause unspecified",Non-rheumatic Aortic Valve Disorders,60234000
G541212,"Aortic regurgitation alone, cause unspecified",Non-rheumatic Aortic Valve Disorders,60234000
G541300,"Aortic stenosis alone, cause unspecified",Non-rheumatic Aortic Valve Disorders,60573004
G541400,Aortic valve stenosis with insufficiency,Non-rheumatic Aortic Valve Disorders,194987006
G541500,Aortic stenosis,Non-rheumatic Aortic Valve Disorders,60573004
G541600,Aortic valve sclerosis,Non-rheumatic Aortic Valve Disorders,67754003
G541700,Aortic valve calcification,Non-rheumatic Aortic Valve Disorders,250978003
G541z00,Aortic valve disorders NOS,Non-rheumatic Aortic Valve Disorders,8722008
Gyu1100,[X]Other rheumatic aortic valve diseases,Non-rheumatic Aortic Valve Disorders,12023003
Gyu5600,[X]Other aortic valve disorders,Non-rheumatic Aortic Valve Disorders,8722008
Gyu5A00,[X]Aortic valve disorders in diseases classified elsewhere,Non-rheumatic Aortic Valve Disorders,8722008
G11z.00,Mitral valve disease NOS,Non-rheumatic Mitral Valve Disorders,11851006
G540.00,Mitral valve incompetence,Non-rheumatic Mitral Valve Disorders,48724000
G540.12,Mitral valve insufficiency,Non-rheumatic Mitral Valve Disorders,48724000
G540.14,Mitral valve regurgitation,Non-rheumatic Mitral Valve Disorders,48724000
G540.16,Mitral regurgitation,Non-rheumatic Mitral Valve Disorders,48724000
G540000,"Mitral incompetence, non-rheumatic",Non-rheumatic Mitral Valve Disorders,194978002
G540100,"Mitral incompetence, cause unspecified",Non-rheumatic Mitral Valve Disorders,48724000
G540200,Mitral valve prolapse,Non-rheumatic Mitral Valve Disorders,409712001
G540300,Mitral valve leaf prolapse,Non-rheumatic Mitral Valve Disorders,250989005
G540z00,Mitral valve disorders NOS,Non-rheumatic Mitral Valve Disorders,11851006
Gyu1000,[X]Other mitral valve diseases,Non-rheumatic Mitral Valve Disorders,11851006
22A5.11,O/E - obese,Obesity,162690006
22K5.00,Body mass index 30+ - obesity,Obesity,162864005
22K7.00,Body mass index 40+ - severely obese,Obesity,408512008
66C..00,Obesity monitoring,Obesity,268522006
66C1.00,Initial obesity assessment,Obesity,170794003
66C2.00,Follow-up obesity assessment,Obesity,170795002
66C4.00,Has seen dietician - obesity,Obesity,170797005
66C5.00,Treatment of obesity changed,Obesity,170798000
66C6.00,Treatment of obesity started,Obesity,170799008
66CE.00,Reason for obesity therapy - occupational,Obesity,170807005
66CZ.00,Obesity monitoring NOS,Obesity,268522006
761A500,Removal of gastric band,Obesity,426559000
7633y00,Other specified bypass of jejunum,Obesity,173911002
7633z00,Bypass of jejunum NOS,Obesity,173911002
9OK..00,Obesity monitoring admin.,Obesity,713951000000106
9OK..11,Obesity clinic administration,Obesity,713971000000102
9OK1.00,Attends obesity monitoring,Obesity,185741002
9OK2.00,Refuses obesity monitoring,Obesity,185742009
9OK3.00,Obesity monitoring default,Obesity,185743004
9OKA.00,Obesity monitoring check done,Obesity,185750000
9OKZ.00,Obesity monitoring admin.NOS,Obesity,713951000000106
C38..00,Obesity and other hyperalimentation,Obesity,302872003
C380.00,Obesity,Obesity,414916001
C380000,Obesity due to excess calories,Obesity,415530009
C380100,Drug-induced obesity,Obesity,190965006
C380200,Extreme obesity with alveolar hypoventilation,Obesity,190966007
C380300,Morbid obesity,Obesity,238136002
C380400,Central obesity,Obesity,248311001
C380500,Generalised obesity,Obesity,238134004
C380600,Adult-onset obesity,Obesity,296526005
C380700,Lifelong obesity,Obesity,294493008
C38y.11,Pickwickian syndrome,Obesity,190966007
C38y000,Pickwickian syndrome,Obesity,190966007
C38y011,Obesity hypoventilation syndrome,Obesity,190966007
C38z.00,Obesity and other hyperalimentation NOS,Obesity,416321000000103
C38z000,Simple obesity NOS,Obesity,415530009
Cyu7.00,[X]Obesity and other hyperalimentation,Obesity,414916001
Cyu7000,[X]Other obesity,Obesity,414916001
ZV65319,[V]Dietary counselling in obesity,Obesity,441901000000108
Fy03.00,Sleep apnoea,Obstructive Sleep Apnoea,73430006
Fy03.11,Obstructive sleep apnoea,Obstructive Sleep Apnoea,78275009
H5B..00,Sleep apnoea,Obstructive Sleep Apnoea,73430006
R005100,[D]Insomnia with sleep apnoea,Obstructive Sleep Apnoea,41975002
R005300,[D]Hypersomnia with sleep apnoea,Obstructive Sleep Apnoea,79280005
R005311,[D]Sleep apnoea syndrome,Obstructive Sleep Apnoea,73430006
7609y00,Other specified open operation on oesophageal varices,Oesophageal varices,173617001
7609y11,Tanner devascularisation for bleeding varices,Oesophageal varices,173617001
7609z00,Open operation on oesophageal varices NOS,Oesophageal varices,173617001
760C300,Fibreoptic endoscopic injection sclerotherapy oesoph varices,Oesophageal varices,173639004
760C500,Fibreoptic endoscopic banding of oesophageal varices,Oesophageal varices,173641003
760F300,Rigid oesophagoscopic injection sclerotherapy oesoph varices,Oesophageal varices,173660005
760F400,Rigid oesophagoscopic banding of oesophageal varices,Oesophageal varices,173661009
Nyu2900,[X]Other primary arthrosis of first carpometacarpal joint,Osteoarthritis excluding spine,444561000000102
Nyu2D00,[X]Other specified arthrosis,Osteoarthritis excluding spine,399269003
Nyu2E00,[X]Other secondary coxarthrosis,Osteoarthritis excluding spine,444561000000102
Nyu2500,[X]Other primary gonarthrosis,Osteoarthritis excluding spine,239873007
Nyu2700,"[X]Other secondary gonarthrosis, bilateral",Osteoarthritis excluding spine,444561000000102
Nyu2800,[X]Other secondary gonarthrosis,Osteoarthritis excluding spine,444561000000102
14G2.00,H/O: osteoarthritis,Osteoarthritis excluding spine,161568003
2G26.00,O/E - hands - Heberden's nodes,Osteoarthritis excluding spine,164455009
N05..00,Osteoarthritis and allied disorders,Osteoarthritis excluding spine,396275006
N05..11,Osteoarthritis,Osteoarthritis excluding spine,396275006
N050000,Generalised osteoarthritis of unspecified site,Osteoarthritis excluding spine,201819000
N050100,Generalised osteoarthritis of the hand,Osteoarthritis excluding spine,267889007
N050111,Heberdens' nodes,Osteoarthritis excluding spine,371598009
N050112,Bouchards' nodes,Osteoarthritis excluding spine,20243008
N050400,Primary generalized osteoarthrosis,Osteoarthritis excluding spine,239862000
N050500,Secondary multiple arthrosis,Osteoarthritis excluding spine,201825001
N050600,Erosive osteoarthrosis,Osteoarthritis excluding spine,201826000
N050700,Heberden's nodes with arthropathy,Osteoarthritis excluding spine,201827009
N050z00,Generalised osteoarthritis NOS,Osteoarthritis excluding spine,201819000
N051.00,"Localised, primary osteoarthritis",Osteoarthritis excluding spine,201829007
N051000,"Localised, primary osteoarthritis of unspecified site",Osteoarthritis excluding spine,201829007
N051100,"Localised, primary osteoarthritis of the shoulder region",Osteoarthritis excluding spine,201831003
N051200,"Localised, primary osteoarthritis of the upper arm",Osteoarthritis excluding spine,313259008
N051300,"Localised, primary osteoarthritis of the forearm",Osteoarthritis excluding spine,313257005
N051400,"Localised, primary osteoarthritis of the hand",Osteoarthritis excluding spine,201834006
N051500,"Localised, primary osteoarthritis of the pelvic region/thigh",Osteoarthritis excluding spine,201835007
N051600,"Localised, primary osteoarthritis of the lower leg",Osteoarthritis excluding spine,201829007
N051700,"Localised, primary osteoarthritis of the ankle and foot",Osteoarthritis excluding spine,201837004
N051800,"Localised, primary osteoarthritis of other specified site",Osteoarthritis excluding spine,201829007
N051900,"Primary coxarthrosis, bilateral",Osteoarthritis excluding spine,201839001
N051A00,"Coxarthrosis resulting from dysplasia, bilateral",Osteoarthritis excluding spine,201840004
N051B00,"Primary gonarthrosis, bilateral",Osteoarthritis excluding spine,201841000
N051C00,"Primary arthrosis of first carpometacarpal joints, bilateral",Osteoarthritis excluding spine,201842007
N051D00,"Localised, primary osteoarthritis of the wrist",Osteoarthritis excluding spine,313257005
N051E00,"Localised, primary osteoarthritis of toe",Osteoarthritis excluding spine,313258000
N051F00,"Localised, primary osteoarthritis of elbow",Osteoarthritis excluding spine,313259008
N051G00,Osteoarthritis of spinal facet joint,Osteoarthritis excluding spine,239863005
N051z00,"Localised, primary osteoarthritis NOS",Osteoarthritis excluding spine,201829007
N052.00,"Localised, secondary osteoarthritis",Osteoarthritis excluding spine,201847001
N052000,"Localised, secondary osteoarthritis of unspecified site",Osteoarthritis excluding spine,201847001
N052100,"Localised, secondary osteoarthritis of the shoulder region",Osteoarthritis excluding spine,201849003
N052200,"Localised, secondary osteoarthritis of the upper arm",Osteoarthritis excluding spine,201847001
N052300,"Localised, secondary osteoarthritis of the forearm",Osteoarthritis excluding spine,201847001
N052400,"Localised, secondary osteoarthritis of the hand",Osteoarthritis excluding spine,201852006
N052511,Coxae malum senilis,Osteoarthritis excluding spine,55176002
N052600,"Localised, secondary osteoarthritis of the lower leg",Osteoarthritis excluding spine,201847001
N052700,"Localised, secondary osteoarthritis of the ankle and foot",Osteoarthritis excluding spine,201855008
N052800,"Localised, secondary osteoarthritis of other specified site",Osteoarthritis excluding spine,201847001
N052z00,"Localised, secondary osteoarthritis NOS",Osteoarthritis excluding spine,201847001
N053.00,"Localised osteoarthritis, unspecified",Osteoarthritis excluding spine,33952002
N053000,"Localised osteoarthritis, unspecified, of unspecified site",Osteoarthritis excluding spine,33952002
N053200,"Localised osteoarthritis, unspecified, of the upper arm",Osteoarthritis excluding spine,33952002
N053300,"Localised osteoarthritis, unspecified, of the forearm",Osteoarthritis excluding spine,43270005
N053400,"Localised osteoarthritis, unspecified, of the hand",Osteoarthritis excluding spine,22193007
N053600,"Localised osteoarthritis, unspecified, of the lower leg",Osteoarthritis excluding spine,33952002
N053611,Patellofemoral osteoarthritis,Osteoarthritis excluding spine,450521003
N053700,"Localised osteoarthritis, unspecified, of the ankle and foot",Osteoarthritis excluding spine,201837004
N053900,"Arthrosis of first carpometacarpal joint, unspecified",Osteoarthritis excluding spine,37895003
N053z00,"Localised osteoarthritis, unspecified, NOS",Osteoarthritis excluding spine,33952002
N054.00,"Oligoarticular osteoarthritis, unspecified",Osteoarthritis excluding spine,268054009
N054000,"Oligoarticular osteoarthritis, unspec, of unspecified sites",Osteoarthritis excluding spine,268054009
N054200,"Oligoarticular osteoarthritis, unspecified, of upper arm",Osteoarthritis excluding spine,396275006
